Time [s],Channel 3
56.528078562,2.551
56.528878562,2.556
56.529678562,2.551
56.530478562,2.556
56.531278562,2.551
56.532078562,2.551
56.532878562,2.556
56.533678562,2.556
56.534478562,2.551
56.535278562,2.551
56.536078562,2.556
56.536878562,2.551
56.537678562,2.551
56.538478562,2.556
56.539278562,2.551
56.540078562,2.556
56.540878562,2.551
56.541678562,2.551
56.542478562,2.556
56.543278562,2.556
56.544078562,2.551
56.544878562,2.551
56.545678562,2.556
56.546478562,2.551
56.547278562,2.551
56.548078562,2.556
56.548878562,2.551
56.549678562,2.551
56.550478562,2.556
56.551278562,2.556
56.552078562,2.551
56.552878562,2.556
56.553678562,2.551
56.554478562,2.551
56.555278562,2.556
56.556078562,2.556
56.556878562,2.556
56.557678562,2.551
56.558478562,2.551
56.559278562,2.551
56.560078562,2.551
56.560878562,2.551
56.561678562,2.551
56.562478562,2.551
56.563278562,2.551
56.564078562,2.556
56.564878562,2.551
56.565678562,2.556
56.566478562,2.551
56.567278562,2.551
56.568078562,2.551
56.568878562,2.556
56.569678562,2.551
56.570478562,2.556
56.571278562,2.551
56.572078562,2.556
56.572878562,2.556
56.573678562,2.556
56.574478562,2.556
56.575278562,2.551
56.576078562,2.551
56.576878562,2.556
56.577678562,2.551
56.578478562,2.556
56.579278562,2.551
56.580078562,2.556
56.580878562,2.551
56.581678562,2.556
56.582478562,2.556
56.583278562,2.556
56.584078562,2.556
56.584878562,2.556
56.585678562,2.556
56.586478562,2.551
56.587278562,2.556
56.588078562,2.556
56.588878562,2.551
56.589678562,2.556
56.590478562,2.556
56.591278562,2.551
56.592078562,2.551
56.592878562,2.556
56.593678562,2.556
56.594478562,2.556
56.595278562,2.551
56.596078562,2.556
56.596878562,2.556
56.597678562,2.556
56.598478562,2.551
56.599278562,2.556
56.600078562,2.556
56.600878562,2.556
56.601678562,2.556
56.602478562,2.556
56.603278562,2.556
56.604078562,2.551
56.604878562,2.556
56.605678562,2.556
56.606478562,2.556
56.607278562,2.556
56.608078562,2.551
56.608878562,2.551
56.609678562,2.556
56.610478562,2.556
56.611278562,2.556
56.612078562,2.556
56.612878562,2.556
56.613678562,2.551
56.614478562,2.556
56.615278562,2.556
56.616078562,2.551
56.616878562,2.556
56.617678562,2.551
56.618478562,2.551
56.619278562,2.556
56.620078562,2.556
56.620878562,2.556
56.621678562,2.551
56.622478562,2.551
56.623278562,2.556
56.624078562,2.551
56.624878562,2.556
56.625678562,2.551
56.626478562,2.556
56.627278562,2.556
56.628078562,2.556
56.628878562,2.556
56.629678562,2.556
56.630478562,2.556
56.631278562,2.551
56.632078562,2.556
56.632878562,2.556
56.633678562,2.556
56.634478562,2.556
56.635278562,2.556
